名称,价格,出发地,已售,评分
北京八达岭长城纯玩一日游【五环内接·独立成团·可+颐和园/明十三陵/夜长城】,108,出发地：北京,已售2882,5.0
【品质出行】北京八达岭长城一日游【多班次滚动发车/可选上门接|颐和园|明十三陵/可升级独立成团】,108,出发地：北京,已售1498,5.0
【北京精品团】颐和园圆明园纯玩一日游/可选恭王府/天坛/五环内可上门/可升级VIP私家团,68,出发地：北京,已售1151,4.9
【京状元·故宫精讲团】北京故宫一日游·故宫门票+珍宝馆+3.5小时人工导游深度讲解私家团·多套餐可选,58,出发地：北京,已售1111,5.0
【巴士达Busda专线】慕田峪长城车费+门票一日游5小时畅游,120,出发地：北京,已售658,5.0
【巴士达Busda专线】八达岭长城车费+门票一日游4小时畅游 早/中/午多班次 可加颐和园,115,出发地：北京,已售551,5.0
【千人好评】中国国家博物馆门票+3小时深度讲解+无线耳麦 可选天坛公园套票+人工讲解,39,出发地：北京,已售926,5.0
【可定今日+京状元·恭王府精讲团】北京恭王府一日游深度讲解+上下午场次/VIP小团/多套餐可选,48,出发地：北京,已售598,5.0
北京八达岭长城一日游【7-12点滚动发班 五环内接 可+颐和园/定陵 可精品小团】,108,出发地：北京,已售270,5.0
北京八达岭长城一日游【五环内接·免费退改/可+夜游长城/十三陵/颐和园】,108,出发地：北京,已售68,5.0
北京故宫一日游【配无线耳麦+3小时深度讲解+可独立成团+可四环上门接】,48,出发地：北京,已售398,5.0
【酒店套餐 班车接送】北京环球影城周边酒店运河希尔顿 含北京环球影城门票 双人自助早餐 早晚班车,699,出发地：北京,已售114,5.0
北京八达岭长城一日游【可选颐和园/圆明园/十三陵/故宫博物院】,108,出发地：北京,已售271,5.0
北京故宫博物院一日游 | 可升级+颐和园+圆明园纯玩无购物,118,出发地：北京,已售191,5.0
【VIP独立团·五环内接送】八达岭长城·天安门广场·故宫·颐和园·十三陵·动物园·慕田峪·圆明园包车,208,出发地：北京,已售83,5.0
【纯玩精品团】北京故宫博物院+八达岭长城+鸟巢纯玩一日游,188,出发地：北京,已售73,5.0
【酒店套餐】北京环球影城大酒店/诺金度假酒店+环球影城门票 可享提前1小时入园特权,818,出发地：北京,已售63,5.0
北京慕田峪长城纯玩5小时一日游【含门票·早晚班·直达景区·可选小包团·五环内接】,88,出发地：北京,已售150,5.0
【野趣古北】古北水镇一日游丨观水舞秀丨赏日夜全景丨可升级小团,278,出发地：北京,已售86,5.0
北京慕田峪长城纯玩一日游 【可选五环内上门接·京腔精讲·门票+车费】可私人定制,108,出发地：北京,已售771,4.9
【慕巴士Mubus景区专线品牌】慕田峪长城交通+门票一日游| 景区入园N免,120,出发地：北京,已售77,5.0
【巴士达Busda专线】八达岭长城+颐和园一日游+纯玩保障,115,出发地：北京,已售22,5.0
北京八达岭长城一日游【可上门接看升旗·京腔精讲·可+颐和园/十三陵】,105,出发地：北京,已售412,5.0
北京故宫博物馆一日游【五环内接·配无线耳麦+深度讲解 可+国家博物馆+八达岭长城】,108,出发地：北京,已售33,5.0
【北京当下好去处】北京红螺寺祈福保平安周边一日游,78,出发地：北京,已售22,5.0
北京颐和园+圆明园一日游【导游深度讲解·可选五环内接·可+恭王府/天坛·独立小包团】,108,出发地：北京,已售59,5.0
北京八达岭长城+明十三陵定陵+鸟巢一日游【登长城·探地宫·可选五环内接】,168,出发地：北京,已售39,5.0
【提前7天预售】北京故宫门票+3小时人工讲解+无线耳麦【可选含钟表馆/珍宝馆】,35,出发地：北京,已售156,5.0
北京八达岭长城+颐和园+鸟巢一日游【登万里长城·游皇家园林·可选五环内接*可选独立成团】,138,出发地：北京,已售42,5.0
颐和园深度讲解一日游【可选圆明园/天坛/恭王府/八达岭】,58,出发地：北京,已售0,5.0
古北水镇二日游【门票+早餐+温泉+午餐+往返交通】（可选古北之光/水镇大酒店/特色客栈/轻奢酒店）,498,出发地：北京,已售25,4.9
【赞巴士ZanBus 长城专线】慕田峪长城交通+门票一日游 畅游5小时 | 赠长城电子导览讲解,115,出发地：北京,已售29,5.0
八达岭长城+颐和园一日游【可选7点单长城+十三陵五环内上门接】,48,出发地：北京,已售105,5.0
北京出发>山西五台山祈福二日游【拜五爷·含2正1早·含住宿费用】,258,出发地：北京,已售29,5.0
古北水镇一日游+商务往返大巴+分餐制/铜锅涮肉+观无人机水舞秀（赠景区内单程电瓶车劵）,278,出发地：北京,已售22,4.9
【踏青好去处】北京京东石林峡一站直达+UFO玻璃栈道 | 专业领队服务一日游,68,出发地：北京,已售22,5.0
【旅游集散中心】公交旅游慕田峪长城专线车、国企品质、纯玩无购物、景区畅玩5H、专属休息区、免费热水,115,出发地：北京,已售17,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,1088,出发地：北京,已售0,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,500,出发地：北京,已售0,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,300,出发地：北京,已售0,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,100,出发地：北京,已售0,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,558,出发地：北京,已售0,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,200,出发地：北京,已售0,5.0
【北京私家VIP包车游】踏青赏花亲子、团建、定制、导游、门票京郊周边游,600,出发地：北京,已售0,5.0
北京中国国家博物馆3小时深度讲解.亲子.研学半日游,168,出发地：北京,已售26,5.0
北京出发 天津纯玩一日游 天津之眼+鼓楼广东会馆+游船+相声 五环内接 一价全含,68,出发地：北京,已售27,5.0
【10分钟快速通关】北京环球影城门票+13项快速通关+导览服务 导游带玩10分钟快速通关,1219,出发地：北京,已售16,5.0
【酒店套餐】北京环球度假区★环球影城大酒店1晚+环球影城乐园门票2张+享提前1h入园礼遇,2979,出发地：北京,已售34,5.0
颐和园门票+皇家园林建筑文化130分钟大咖讲师深度讲解精品游随订随用【可选游船套餐】,88,出发地：北京,已售46,4.9
【赞巴士ZanBus品牌景区专线】八达岭长城交通＋门票一日游丨畅游4小时丨早/中双班任选丨纯玩无购物,115,出发地：北京,已售0,5.0
雍和宫一日游【门票+资深导游精讲120分钟】拜佛祈福+含耳麦,58,出发地：北京,已售42,5.0
【二日游】北京故宫+八达岭长城+颐和园+天坛+圆明园纯玩跟团,378,出发地：北京,已售0,5.0
北京八达岭长城一日游【全程无购物·可选7-10-12点出发】,118,出发地：北京,已售30,5.0
北京出发 承德木兰围场塞罕坝乌兰布统草原3天2晚跟团游,538,出发地：北京,已售0,5.0
北京红螺寺一日游【赠祈福带&求姻缘求子&佛学讲解&睡醒出发&景区5小时纯玩】,58,出发地：北京,已售30,5.0
八达岭长城一日游·7-12点多班次发车+可升级私家小团+纯玩深度游+睡醒再出发,108,出发地：北京,已售0,5.0
【五环内接】天津外滩游船+古文化街+意式风情街+外观瓷房子天津之眼一日游,78,出发地：北京,已售0,4.9
北京恭王府一日游 资深导游深度讲解 【可+黄包车+天坛公园+颐和园+圆明园+五环内接】,108,出发地：北京,已售21,5.0
北京国家博物馆3.5小时深度讲解（大咖1对1讲解）,188,出发地：北京,已售0,5.0
天津一日游【赠天津相声 五环内上门接 意大利风情区+天津之眼+外滩公园乘船出海观光+午餐】,98,出发地：北京,已售11,4.9
【京状元·颐和园精讲团】北京颐和园一日游深度讲解+上午场/下午场/VIP小包团+多场次可选/出行无忧,88,出发地：北京,已售16,5.0
【精品团】北京故宫博物院+4小时深度讲解一日游【可选私家团一对一讲解+五环上门接】,38,出发地：北京,已售109,5.0
【夜游京城·感受北京四美】登顶中央电视塔+鸟巢水立方+后海夜景游,138,出发地：北京,已售19,5.0
【前门旅游集散中心】北京八达岭长城一日游、前门一站直达景区、免换乘摆渡、纯玩无购物,98,出发地：北京,已售0,5.0
