名称,价格,出发地,已售,评分
【爆款4800条好评】南京博物院+总统府+中山陵+夫子庙等一日游 纯玩精致管家小团,118,出发地：南京,已售498,5.0
【纯玩专线】【一价全含】南京总统府+中山陵+牛首山+报恩寺+夫子庙一日游 可定私家小团,198,出发地：南京,已售522,5.0
南京博物院人工讲解半日游【VIP小团/无线耳麦/2H讲解/门票预约】,68,出发地：南京,已售205,5.0
【0自费0购物 含往返小火车】南京一日游总统府中山陵博物院夫子庙纪念馆报恩寺,218,出发地：南京,已售64,5.0
南京大屠杀遇难同胞纪念馆+总统府+中山陵+夫子庙纯玩一日游（可选大报恩寺遗址景区）,99,出发地：南京,已售106,5.0
【赠送南博印章】南京博物院文史老师讲解2H+ VIP小团+含耳麦+含门票100%入园,68,出发地：南京,已售158,5.0
【无购物 无套路】南京一1日游 南京博物院 总统府 中山陵 夫子庙 大报恩寺,98,出发地：南京,已售0,5.0
南京总统府中山陵夫子庙等一日游（纪念馆 博物院 玄武湖 ）,199,出发地：南京,已售12,5.0
南京中山陵+夫子庙+侵华日军南京大屠杀遇难同胞纪念馆纯玩一日游【可选总统府和大报恩寺遗址景区】,69,出发地：南京,已售0,5.0
热门长江大桥+总统府+中山陵+玄武湖+夜游夫子庙等小团一日游,199,出发地：南京,已售0,5.0
南京一日游：南京总统府+中山陵+南京博物院+鸡鸣寺+夫子庙 【纯玩0自费天天出发】,218,出发地：南京,已售50,5.0
【酒店套餐】南京汤山紫清湖生态旅游温泉度假区1晚+双早+双人紫清湖温泉+双人儿童淘气堡,499,出发地：南京,已售0,5.0
南京博物院半日游,118,出发地：南京,已售0,5.0
【无自费·无购物小团】南京一日跟团游 总统府 南京博物院 中山陵 夫子庙,278,出发地：南京,已售0,5.0
鸡鸣寺+南京总统府+中山陵景区+夫子庙+老门东一日游,248,出发地：南京,已售12,暂无评分
【酒店套餐】#近国际慢城/游子山#南京高淳桐画民宿2天1晚+双早+双人固城湖水慢城+亲子活动,396,出发地：南京,已售0,暂无评分
【酒店套餐】南京银杏湖度假酒店1晚+双人银杏湖乐园门票+双早,599,出发地：南京,已售0,5.0
【南京出发】九华山+化城寺+百岁宫+肉身宝殿+地藏禅寺一日游,668,出发地：南京,已售0,5.0
南京幸庄滑翔伞飞行营地,100,出发地：南京,已售0,暂无评分
南京博物院一日游 【 可以预约当天门票】【3小时深度导游讲解vip小团】,60,出发地：南京,已售0,5.0
【酒店套餐】南京紫青湖生态旅游温泉度假区2天1晚+双人温泉 可选野生动物园门票,599,出发地：南京,已售0,5.0
南京总统府+中山陵+牛首山+报恩寺+夫子庙一日游,258,出发地：南京,已售0,暂无评分
黄花岸酒店+园博园2日畅玩+温泉畅泡【双人】,558,出发地：南京,已售0,暂无评分
【纯玩扬州】扬州瘦西湖+何园或个园+东关街纯玩一日游 多套餐可选,199,出发地：南京,已售0,5.0
南京总统府+中山陵+博物院一日游 纯玩,98,出发地：南京,已售0,暂无评分
若航(南京)老山直升机基地,550,出发地：南京,已售0,暂无评分
【酒店套餐】南京涵田栖云山房酒店|坐落于南京栖霞山南麓，依山而建，有效期到23年6月底,1199,出发地：南京,已售0,暂无评分
【酒店套餐】南京绿地御豪温泉酒店2天1晚含双早双人空中花园温泉,499,出发地：南京,已售0,5.0
丰硕欢乐农场|0农残草莓采摘+亲子活动+研学种植,98,出发地：南京,已售0,暂无评分
丰硕欢乐农场|单人露营自助烧烤+趣味农场,69,出发地：南京,已售0,暂无评分
丰硕欢乐农场|萌宠乐园+天幕套装+趣味农场,198,出发地：南京,已售0,暂无评分
"丰硕欢乐农场|春日""游趣""",60,出发地：南京,已售0,暂无评分
【酒店套餐】南京新晶丽酒店2天1晚|特惠套餐，周末不加价|五一可用！,1579,出发地：南京,已售0,暂无评分
【酒店套餐】紫清湖温泉度假酒店2天1晚+双早+2大1小野生动物世界门票+淘气堡门票1张+2大1小温泉,1188,出发地：常州,已售0,暂无评分
【酒店套餐】句容碧桂园凤凰城酒店2天1晚含双早+双人温泉/双人野生动物世界门票,558,出发地：镇江,已售0,暂无评分
【酒店套餐】广州九龙湖公主酒店1晚+双人自助早餐+德国风情双人美食套餐1份+养生泡池+九龙湖生态公园,669,出发地：广州,已售0,4.9
